Model_ID,N_features,Features,All_Features,Train_R2_CV,Val_R2_CV,Gap,CV_RMSE,Adj_R2,AIC,BIC,Test_R2,Test_RMSE,Unstable,Rank
156,4,"Monopole, Q_0, C6, r2","Monopole, Q_0, C6, r2, Scaffold_Factor",0.8192,0.7343,0.0849,0.0448,0.7756,-450.62,-425.13,0.3171,0.1818,"Monopole, Scaffold_Factor, Scaffold_BX-6",130
303,5,"Monopole, Q_0, C6, r2, Polar_acc","Monopole, Q_0, C6, r2, Polar_acc, Scaffold_Factor",0.8192,0.7343,0.0849,0.0448,0.772,-448.62,-420.81,0.3171,0.1818,"Monopole, Scaffold_Factor, Scaffold_BX-6",131
428,6,"Monopole, Q_0, C6, r2, r2_acc, Polar_acc","Monopole, Q_0, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8192,0.7343,0.0849,0.0448,0.7682,-446.62,-416.5,0.3171,0.1818,"Monopole, Scaffold_Factor, Scaffold_BX-6",132
380,5,"Q_2, r2, r2_acc, Polarizability, Polar_acc","Q_2, r2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8176,0.734,0.0836,0.0447,0.7701,-447.99,-420.18,0.3342,0.1795,"Scaffold_BX-6, Scaffold_Benzene",133
115,3,"Q_2, r2, Polarizability","Q_2, r2, Polarizability, Scaffold_Factor",0.8176,0.734,0.0836,0.0447,0.7772,-451.99,-428.82,0.3342,0.1795,"Scaffold_BX-6, Scaffold_Benzene",134
249,4,"Q_2, r2, Polarizability, Polar_acc","Q_2, r2, Polarizability, Polar_acc, Scaffold_Factor",0.8176,0.734,0.0836,0.0447,0.7737,-449.99,-424.5,0.3342,0.1795,"Scaffold_BX-6, Scaffold_Benzene",135
247,4,"Q_2, r2, r2_acc, Polarizability","Q_2, r2, r2_acc, Polarizability, Scaffold_Factor",0.8176,0.734,0.0836,0.0447,0.7737,-449.99,-424.5,0.3342,0.1795,"Scaffold_BX-6, Scaffold_Benzene",136
311,5,"Monopole, Q_2, C6, r2, r2_acc","Monopole, Q_2, C6, r2, r2_acc, Scaffold_Factor",0.8183,0.7339,0.0844,0.0443,0.7711,-448.33,-420.52,0.3342,0.1795,"Monopole, Scaffold_BX-6, Scaffold_Benzene",137
313,5,"Monopole, Q_2, C6, r2, Polar_acc","Monopole, Q_2, C6, r2, Polar_acc, Scaffold_Factor",0.8183,0.7339,0.0844,0.0443,0.7711,-448.33,-420.52,0.3342,0.1795,"Monopole, Scaffold_BX-6, Scaffold_Benzene",138
433,6,"Monopole, Q_2, C6, r2, r2_acc, Polar_acc","Monopole, Q_2, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8183,0.7339,0.0844,0.0443,0.7673,-446.33,-416.2,0.3342,0.1795,"Monopole, Scaffold_BX-6, Scaffold_Benzene",139
166,4,"Monopole, Q_2, C6, r2","Monopole, Q_2, C6, r2, Scaffold_Factor",0.8183,0.7339,0.0844,0.0443,0.7747,-450.33,-424.83,0.3342,0.1795,"Monopole, Scaffold_BX-6, Scaffold_Benzene",140
234,4,"Q_0, C6, r2_acc, Polarizability","Q_0, C6, r2_acc, Polarizability, Scaffold_Factor",0.8126,0.7337,0.0789,0.0444,0.7703,-448.86,-423.37,0.3171,0.1818,Scaffold_BX-6,141
62,3,"Monopole, Q_2, Polarizability","Monopole, Q_2, Polarizability, Scaffold_Factor",0.8151,0.7337,0.0814,0.0446,0.7745,-451.06,-427.89,0.326,0.1806,"Scaffold_BX-6, Scaffold_Benzene",142
173,4,"Monopole, Q_2, r2_acc, Polarizability","Monopole, Q_2, r2_acc, Polarizability, Scaffold_Factor",0.8151,0.7337,0.0814,0.0446,0.7709,-449.06,-423.57,0.326,0.1806,"Scaffold_BX-6, Scaffold_Benzene",143
175,4,"Monopole, Q_2, Polarizability, Polar_acc","Monopole, Q_2, Polarizability, Polar_acc, Scaffold_Factor",0.8151,0.7337,0.0814,0.0446,0.7709,-449.06,-423.57,0.326,0.1806,"Scaffold_BX-6, Scaffold_Benzene",144
236,4,"Q_0, C6, Polarizability, Polar_acc","Q_0, C6, Polarizability, Polar_acc, Scaffold_Factor",0.8126,0.7337,0.0789,0.0444,0.7703,-448.86,-423.37,0.3171,0.1818,Scaffold_BX-6,145
454,6,"Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc","Dipole_1, Q_2, C6, r2, r2_acc, Polar_acc, Scaffold_Factor",0.8201,0.7337,0.0864,0.044,0.7707,-447.42,-417.29,0.3391,0.1788,"Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",146
346,5,"Dipole_1, Q_2, C6, r2, r2_acc","Dipole_1, Q_2, C6, r2, r2_acc, Scaffold_Factor",0.8201,0.7337,0.0864,0.044,0.7744,-449.42,-421.61,0.3391,0.1788,"Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",147
374,5,"Q_0, C6, r2_acc, Polarizability, Polar_acc","Q_0, C6, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8126,0.7337,0.0789,0.0444,0.7666,-446.86,-419.05,0.3171,0.1818,Scaffold_BX-6,148
348,5,"Dipole_1, Q_2, C6, r2, Polar_acc","Dipole_1, Q_2, C6, r2, Polar_acc, Scaffold_Factor",0.8201,0.7337,0.0864,0.044,0.7744,-449.42,-421.61,0.3391,0.1788,"Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",149
201,4,"Dipole_1, Q_2, C6, r2","Dipole_1, Q_2, C6, r2, Scaffold_Factor",0.8201,0.7337,0.0864,0.044,0.778,-451.42,-425.92,0.3391,0.1788,"Scaffold_Factor, Scaffold_BX-6, Scaffold_BZ-5, Scaffold_BZ-6, Scaffold_Benzene, Scaffold_Pyrimidine",150
320,5,"Monopole, Q_2, r2_acc, Polarizability, Polar_acc","Monopole, Q_2, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8151,0.7337,0.0814,0.0446,0.7672,-447.06,-419.25,0.326,0.1806,"Scaffold_BX-6, Scaffold_Benzene",151
102,3,"Q_0, C6, Polarizability","Q_0, C6, Polarizability, Scaffold_Factor",0.8126,0.7337,0.0789,0.0444,0.7738,-450.86,-427.68,0.3171,0.1818,Scaffold_BX-6,152
430,6,"Monopole, Q_0, C6, r2_acc, Polarizability, Polar_acc","Monopole, Q_0, C6, r2_acc, Polarizability, Polar_acc, Scaffold_Factor",0.8186,0.7336,0.085,0.0446,0.7675,-446.4,-416.27,0.3154,0.182,"Polarizability, Scaffold_BX-6",153
306,5,"Monopole, Q_0, C6, Polarizability, Polar_acc","Monopole, Q_0, C6, Polarizability, Polar_acc, Scaffold_Factor",0.8186,0.7336,0.085,0.0446,0.7713,-448.4,-420.59,0.3154,0.182,"Polarizability, Scaffold_BX-6",154
304,5,"Monopole, Q_0, C6, r2_acc, Polarizability","Monopole, Q_0, C6, r2_acc, Polarizability, Scaffold_Factor",0.8186,0.7336,0.085,0.0446,0.7713,-448.4,-420.59,0.3154,0.182,"Polarizability, Scaffold_BX-6",155
158,4,"Monopole, Q_0, C6, Polarizability","Monopole, Q_0, C6, Polarizability, Scaffold_Factor",0.8186,0.7336,0.085,0.0446,0.7749,-450.4,-424.9,0.3154,0.182,"Polarizability, Scaffold_BX-6",156
237,4,"Q_0, r2, r2_acc, Polarizability","Q_0, r2, r2_acc, Polarizability, Scaffold_Factor",0.8175,0.7335,0.084,0.0451,0.7734,-449.88,-424.39,0.3115,0.1825,Scaffold_BX-6,157
